	x		e^x		(e^x)'
      4.41	     82.27	     82.68
      4.42	     83.10	     83.52
      4.43	     83.93	     84.35
      4.44	     84.78	     85.20
      4.45	     85.63	     86.06
      4.46	     86.49	     86.92
      4.47	     87.36	     87.80
      4.48	     88.24	     88.68
      4.49	     89.12	     89.57
      4.50	     90.02	     90.47
      4.51	     90.92	     91.38
      4.52	     91.84	     92.30
      4.53	     92.76	     93.23
      4.54	     93.69	     94.16
      4.55	     94.63	     95.11
      4.56	     95.58	     96.07
      4.57	     96.55	     97.03
      4.58	     97.52	     98.01
      4.59	     98.50	     98.99
      4.60	     99.49	     99.99
      4.61	    100.49	    100.99
      4.62	    101.50	    102.01
      4.63	    102.52	    103.03
      4.64	    103.55	    104.07
      4.65	    104.59	    105.11
      4.66	    105.64	    106.17
      4.67	    106.70	    107.24
      4.68	    107.77	    108.31
      4.69	    108.85	    109.40
      4.70	    109.95	    110.50
      4.71	    111.05	    111.61
      4.72	    112.17	    112.74
      4.73	    113.30	    113.87
      4.74	    114.44	    115.01
      4.75	    115.59	    116.17
      4.76	    116.75	    117.34
      4.77	    117.92	    118.52
      4.78	    119.11	    119.71
      4.79	    120.30	    120.91
      4.80	    121.51	    122.12
      4.81	    122.73	    123.35
      4.82	    123.97	    124.59
      4.83	    125.21	    125.84
      4.84	    126.47	    127.11
      4.85	    127.74	    128.39
      4.86	    129.03	    129.68
      4.87	    130.32	    130.98
      4.88	    131.63	    132.30
      4.89	    132.96	    133.63
      4.90	    134.29	    134.97
      4.91	    135.64	    136.33
      4.92	    137.01	    137.70
      4.93	    138.38	    139.08
      4.94	    139.77	    140.48
      4.95	    141.18	    141.89
      4.96	    142.60	    143.32
      4.97	    144.03	    144.76
      4.98	    145.48	    146.21
      4.99	    146.94	    147.68
      5.00	    148.42	    149.16
      5.01	    149.91	    150.66
      5.02	    151.41	    152.18
      5.03	    152.94	    153.71
      5.04	    154.47	    155.25
      5.05	    156.03	    156.81
      5.06	    157.59	    158.39
      5.07	    159.18	    159.98
      5.08	    160.78	    161.59
      5.09	    162.39	    163.21
      5.10	    164.03	    164.85
      5.11	    165.67	    166.51
      5.12	    167.34	    168.18
